"","Rank Freq.","Importance","cachexic","control"
"Uracil",0.7,0.302335310190302,"High","Low"
"Acetate",0.42,0.201803295165409,"High","Low"
"3-Indoxylsulfate",0.28,0.155605307478536,"High","Low"
"Lactate",0.24,0.142967970190395,"High","Low"
"Leucine",0.24,0.105686190976531,"High","Low"
"trans-Aconitate",0.18,0.0898536325902526,"High","Low"
"2-Aminobutyrate",0.18,0.0891979472101158,"High","Low"
"N,N-Dimethylglycine",0.18,0.0835834257791829,"High","Low"
"Betaine",0.16,0.117590768011712,"High","Low"
"myo-Inositol",0.16,0.0877648916808175,"High","Low"
"Acetone",0.14,0.0985942852573932,"High","Low"
"3-Hydroxyisovalerate",0.14,0.097629989788097,"High","Low"
"Isoleucine",0.14,0.0812701873040616,"High","Low"
"Pantothenate",0.14,0.0792443329377779,"High","Low"
"Carnitine",0.14,0.0744095250911005,"High","Low"
"Lysine",0.12,0.091020180093073,"High","Low"
"Trigonelline",0.12,0.0643248133724175,"High","Low"
"Hypoxanthine",0.12,0.0601810794277316,"High","Low"
"pi-Methylhistidine",0.1,0.0761505973389071,"High","Low"
"Quinolinate",0.1,0.0587129879052599,"High","Low"
"Glycolate",0.08,0.0664796561922016,"High","Low"
"Sucrose",0.08,0.0501158390310179,"High","Low"
"Creatine",0.08,0.0426345727262136,"High","Low"
"Pyruvate",0.08,0.0405973446351321,"High","Low"
"Glucose",0.08,0.0378240889607687,"High","Low"
"Glycine",0.06,0.0559867493021954,"High","Low"
"1,6-Anhydro-beta-D-glucose",0.04,0.0453205801095933,"High","Low"
"Methylguanidine",0.04,0.0383657141787955,"High","Low"
"3-Aminoisobutyrate",0.04,0.0375199163154457,"High","Low"
"2-Hydroxyisobutyrate",0.04,0.0348610326574099,"High","Low"
"Adipate",0.04,0.0288451317512934,"High","Low"
"Serine",0.04,0.0276370209120949,"High","Low"
"Tyrosine",0.04,0.026538273281763,"High","Low"
"Pyroglutamate",0.02,0.0530694137266363,"High","Low"
"3-Hydroxybutyrate",0.02,0.0401292264634021,"High","Low"
"Citrate",0.02,0.0393483346024279,"High","Low"
"Histidine",0.02,0.0388825875686142,"High","Low"
"Taurine",0.02,0.0387745405824261,"High","Low"
"tau-Methylhistidine",0.02,0.0373333486033929,"High","Low"
"O-Acetylcarnitine",0.02,0.0367409569037714,"High","Low"
"Fucose",0.02,0.036178421364206,"High","Low"
"Ethanolamine",0.02,0.0349670830760572,"High","Low"
"Tartrate",0.02,0.0291250438816872,"High","Low"
"Succinate",0.02,0.0271448334959279,"High","Low"
"Hippurate",0.02,0.0225633189432511,"High","Low"
"Dimethylamine",0.02,0.0168421290399065,"High","Low"
